Record#,PIT Tag,SRR Verbose,Event Type,Conditional Comments,Length,Weight,Text Comments,Event Date (PST),Event Site,Brood Year,Migration Year,Release Site,Release Date (PST),Organization,Hatchery,Additional Positional,Tally Count,SRR Code
7,3DD.00774E7C51,Wild Summer Chinook,Mark,,89,4.3,,3/10/2017 8:36,SECTRP,2015,2017,SECTRP,3/10/2017 8:36,NPT,,,1,12W
8,3DD.00774EB0E7,Wild Summer Chinook,Mark,,84,5.9,,3/10/2017 8:36,SECTRP,2015,2017,SECTRP,3/10/2017 8:36,NPT,,,1,12W
9,3DD.007756CA6E,Wild Summer Chinook,Mark,,88,6.5,,3/10/2017 8:36,SECTRP,2015,2017,SECTRP,3/10/2017 8:36,NPT,,,1,12W
10,3DD.00774F8229,Wild Summer Chinook,Mark,,97,8.5,,3/10/2017 8:37,SECTRP,2015,2017,SECTRP,3/10/2017 8:37,NPT,,,1,12W
11,3DD.007756E1AD,Wild Summer Chinook,Mark,,102,10.5,,3/10/2017 8:37,SECTRP,2015,2017,SECTRP,3/10/2017 8:37,NPT,,,1,12W
1,..........,Mountain Whitefish,Tally,,316,,,3/11/2017 8:05,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:05,NPT,,,1,G0W
2,3DD.00775717FC,Wild Summer Chinook,Mark,,83,5.7,,3/11/2017 8:07,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:07,NPT,,,1,12W
3,3DD.007756F3CF,Wild Summer Chinook,Mark,,84,5.7,,3/11/2017 8:08,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:08,NPT,,,1,12W
4,3DD.00774F0EB0,Wild Summer Chinook,Mark,,94,8.2,,3/11/2017 8:08,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:08,NPT,,,1,12W
5,3DD.0077570567,Wild Summer Chinook,Mark,,79,4.8,,3/11/2017 8:08,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:08,NPT,,,1,12W
6,3DD.0077573620,Wild Summer Chinook,Mark,,87,6.7,,3/11/2017 8:09,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:09,NPT,,,1,12W
7,3DD.007756E474,Wild Summer Chinook,Mark,,81,5.2,,3/11/2017 8:09,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:09,NPT,,,1,12W
8,3DD.00774F9B73,Wild Summer Chinook,Mark,,89,6.5,,3/11/2017 8:09,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:09,NPT,,,1,12W
9,3DD.007756E58A,Wild Summer Chinook,Mark,,84,5.6,,3/11/2017 8:10,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:10,NPT,,,1,12W
10,3DD.007756EDDF,Wild Summer Chinook,Mark,,86,5.8,,3/11/2017 8:10,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:10,NPT,,,1,12W
11,3DD.007756D313,Wild Summer Chinook,Mark,,85,5.5,,3/11/2017 8:10,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:10,NPT,,,1,12W
12,3DD.00774ECC7B,Wild Summer Chinook,Mark,,72,3.4,,3/11/2017 8:10,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:10,NPT,,,1,12W
13,3DD.00774FD3DB,Wild Summer Chinook,Mark,,81,4.8,,3/11/2017 8:11,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:11,NPT,,,1,12W
14,3DD.007756DA33,Wild Summer Chinook,Mark,,86,6,,3/11/2017 8:11,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:11,NPT,,,1,12W
15,3DD.007756CDAB,Wild Summer Chinook,Mark,,79,4.4,,3/11/2017 8:11,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:11,NPT,,,1,12W
16,3DD.00774FCCCF,Wild Summer Chinook,Mark,,84,5.8,,3/11/2017 8:12,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:12,NPT,,,1,12W
17,3DD.007756D1C4,Wild Summer Steelhead,Mark,,160,36.7,,3/11/2017 8:12,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:12,NPT,,,1,32W
18,3DD.00774F1C36,Wild Summer Steelhead,Mark,,180,51.4,,3/11/2017 8:13,JOHTRP,2015,2017,JOHTRP,3/11/2017 8:13,NPT,,,1,32W
1,..........,Wild Summer Chinook,Recovery,M,96,,TRAP MORT,3/11/2017 7:01,SECTRP,2015,2017,SECTRP,3/11/2017 7:01,NPT,,,1,12W
